,Title,Poet,Lines,Last_Word
0,Song of Myself (1892 version),Walt Whitman,1,1
1,Song of Myself (1892 version),Walt Whitman,"I celebrate myself, and sing myself,",myself
2,Song of Myself (1892 version),Walt Whitman,"And what I assume you shall assume,",assume
3,Song of Myself (1892 version),Walt Whitman,For every atom belonging to me as good belongs to you.,you
4,Song of Myself (1892 version),Walt Whitman,"I loafe and invite my soul,",soul
5,Song of Myself (1892 version),Walt Whitman,I lean and loafe at my ease observing a spear of summer grass.,grass
6,Song of Myself (1892 version),Walt Whitman,"My tongue, every atom of my blood, form’d from this soil, this air,",air
7,Song of Myself (1892 version),Walt Whitman,"Born here of parents born here from parents the same, and their parents the same,",same
8,Song of Myself (1892 version),Walt Whitman,"I, now thirty-seven years old in perfect health begin,",begin
9,Song of Myself (1892 version),Walt Whitman,Hoping to cease not till death.,death
10,Song of Myself (1892 version),Walt Whitman,"Creeds and schools in abeyance,",abeyance
11,Song of Myself (1892 version),Walt Whitman,"Retiring back a while sufficed at what they are, but never forgotten,",forgotten
12,Song of Myself (1892 version),Walt Whitman,"I harbor for good or bad, I permit to speak at every hazard,",hazard
13,Song of Myself (1892 version),Walt Whitman,Nature without check with original energy.2,2
14,Song of Myself (1892 version),Walt Whitman,"Houses and rooms are full of perfumes, the shelves are crowded with perfumes,",perfumes
15,Song of Myself (1892 version),Walt Whitman,"I breathe the fragrance myself and know it and like it,",it
16,Song of Myself (1892 version),Walt Whitman,"The distillation would intoxicate me also, but I shall not let it.",it
17,Song of Myself (1892 version),Walt Whitman,"The atmosphere is not a perfume, it has no taste of the distillation, it is odorless,",odorless
18,Song of Myself (1892 version),Walt Whitman,"It is for my mouth forever, I am in love with it,",it
19,Song of Myself (1892 version),Walt Whitman,"I will go to the bank by the wood and become undisguised and naked,",naked
20,Song of Myself (1892 version),Walt Whitman,I am mad for it to be in contact with me.,me
21,Song of Myself (1892 version),Walt Whitman,"The smoke of my own breath,",breath
22,Song of Myself (1892 version),Walt Whitman,"Echoes, ripples, buzz’d whispers, love-root, silk-thread, crotch and vine,",vine
23,Song of Myself (1892 version),Walt Whitman,"My respiration and inspiration, the beating of my heart, the passing of blood and air through my lungs,",lungs
24,Song of Myself (1892 version),Walt Whitman,"The sniff of green leaves and dry leaves, and of the shore and dark-color’d sea-rocks, and of hay in the barn,",barn
25,Song of Myself (1892 version),Walt Whitman,"The sound of the belch’d words of my voice loos’d to the eddies of the wind,",wind
